,QALY,Cost,Delta_Cost,Delta_QALY,ICER
SOC,19.403789507741067,435714.30798612797,435714.30798612797,19.403789507741067,22455.11413181953
Semaglutide,19.54267903322325,440015.2707829928,4300.9627968648565,0.1388895254821847,30966.790202019514
