QALY,Cost,Delta_Cost,Delta_QALY,ICER,cost_scenario,transition_source,efficacy_duration,hr_factor
20.38698755975172,391534.9532772914,1121.4322580159642,0.08257102121299198,13581.42652884514,2940,_trial_low,6,1.0
20.367208178366887,392214.5171835004,1800.9961642249837,0.06279163982815916,28682.101138841732,2940,_trial_low,6,0.75
20.34686192439947,392913.6532405008,2500.132221225358,0.042445385860741425,58902.332268294434,2940,_trial_low,6,0.5
20.325935746984367,393632.7852555184,3219.264236242976,0.021519208445639038,149599.5656334364,2940,_trial_low,6,0.25
20.539378146676388,395385.5566615267,4972.035642251256,0.23496160813765954,21161.05555141687,2940,_trial_low,20,1.0
20.488018702154537,397209.7272451493,6796.206225873902,0.1836021636158094,37015.93756866111,2940,_trial_low,20,0.75
20.43197578434377,399199.6421322079,8786.12111293251,0.12755924580504185,68878.74773390385,2940,_trial_low,20,0.5
20.370894505076393,401366.7404671777,10953.219447902287,0.06647796653766491,164764.65840296785,2940,_trial_low,20,0.25
20.980981060880694,406538.26285278524,16124.74183350982,0.6765645223419661,23833.265418194143,2940,_trial_low,80,1.0
20.868120855726502,411047.9068619482,20634.385842672782,0.5637043171877743,36604.981039730636,2940,_trial_low,80,0.75
20.721989830518527,416864.41586691915,26450.894847643736,0.4175732919797994,63344.316688058985,2940,_trial_low,80,0.5
20.536124178740216,424205.3833953332,33791.862376057776,0.23170764020148837,145838.36055933693,2940,_trial_low,80,0.25
21.230798336122078,420343.5638111682,29930.042791892774,0.9263817975833497,32308.53938405441,2940,_trial_low,lifetime,1.0
21.099997740512556,425752.76173654123,35339.24071726581,0.7955812019738282,44419.401350345564,2940,_trial_low,lifetime,0.75
20.91082722661173,433828.01369530614,43414.49267603073,0.6064106880730016,71592.5585249651,2940,_trial_low,lifetime,0.5
20.649259558739583,445158.6828324243,54745.16181314888,0.3448430202008552,158753.8636602311,2940,_trial_low,lifetime,0.25
19.54267903322325,434778.4457033457,-935.8622827822692,0.1388895254821847,-6738.177551786019,2940,_trial,6,1.0
19.50998588066259,435932.1941897671,217.88620363915106,0.10619637292152362,2051.7292412629135,2940,_trial,6,0.75
19.475963069178963,437131.8033526132,1417.4953664852073,0.07217356143789644,19640.091721189718,2940,_trial,6,0.5
19.440575842204932,438378.4053656083,2664.097379480314,0.0367863344638657,72420.8437265526,2940,_trial,6,0.25
19.810414341992793,434259.1453647178,-1455.1626214101561,0.40662483425172624,-3578.636863358226,2940,_trial,20,1.0
19.725425544335664,437364.33854153805,1650.0305554100778,0.3216360365945974,5130.117174929129,2940,_trial,20,0.75
19.629893621414237,440842.3086607028,5128.000674574811,0.22610411367316985,22679.820332624553,2940,_trial,20,0.5
19.52296048895839,444719.9511177016,9005.643131573626,0.11917098121732295,75569.09441863811,2940,_trial,20,0.25
20.63555470794621,428620.6137942991,-7093.694191828894,1.2317652002051425,-5758.966230453243,2940,_trial,80,1.0
20.44073063859263,436729.52394388325,1015.2159577552811,1.036941130851563,979.0487883546093,2940,_trial,80,0.75
20.177651925349867,447515.5102721122,11801.20228598424,0.7738624176088003,15249.742095564505,2940,_trial,80,0.5
19.83477523413997,461317.7232582097,25603.415272081736,0.43098572639890165,59406.643199093625,2940,_trial,80,0.25
21.123670256491238,425372.8194802976,-10341.488505830348,1.719880748750171,-6012.910205167107,2940,_trial,lifetime,1.0
20.880696064080293,436406.9039114272,692.5959252992179,1.4769065563392267,468.95040334571945,2940,_trial,lifetime,0.75
20.5227580028862,452814.9465021088,17100.638515980856,1.1189684951451326,15282.502224303345,2940,_trial,lifetime,0.5
20.03168145303605,475131.5438631242,39417.235876996245,0.6278919452949836,62777.10069760177,2940,_trial,lifetime,0.25
18.451361399840597,486561.4573743629,-2941.6764741495135,0.20127589941052904,-14615.145095685659,2940,_trial_high,6,1.0
18.405098120940764,488150.7349548964,-1352.3988936160458,0.1550126205106963,-8724.443785031855,2940,_trial_high,6,0.75
18.356178210113796,489829.1102463867,325.97639787429944,0.10609270968372897,3072.5617136753476,2940,_trial_high,6,0.5
18.304530575432644,491598.799809541,2095.6659610285424,0.054445075002576004,38491.37797917237,2940,_trial_high,6,0.25
18.85906477910332,481346.957276886,-8156.176571626449,0.6089792786732531,-13393.19227642002,2940,_trial_high,20,1.0
